Symbol, Total Value, Profitable Value, Giveaway Value, Best Future Value, earningsQuarterlyGrowth, priceToBook, forwardPE, pegRatio, 52WeekChange, marketPrice, Industry, earningsDate, recommendation
CBRE,673,75,210,81,0.619,2.3349774,11.962365,1.23,-0.11898631,42.54,Real Estate,2020-05-06,{"period":"0m","strongBuy":0,"buy":0,"hold":0,"sell":0,"strongSell":0}
AAP,687,65,207,26,0.795,2.3032205,13.8531475,3.3,-0.3011524,117.53,Consumer Cyclical,2020-05-20,{"period":"0m","strongBuy":4,"buy":9,"hold":11,"sell":1,"strongSell":2}
AMP,692,278,215,5,-0.141,2.4002683,6.212206,0.55,-0.22472227,101.69,Financial Services,2020-04-22,{"period":"0m","strongBuy":3,"buy":3,"hold":5,"sell":0,"strongSell":0}
CI,696,12,143,72,5.785,1.5951127,9.469756,0.82,0.31177783,195.35,Healthcare,2020-04-30,{"period":"0m","strongBuy":6,"buy":7,"hold":4,"sell":0,"strongSell":0}
ALB,697,320,153,22,-0.303,1.657633,11.753346,0.88,-0.2519167,58.57,Basic Materials,2020-05-06,{"period":"0m","strongBuy":2,"buy":6,"hold":12,"sell":0,"strongSell":0}
FLS,701,169,166,203,0.106,1.8081074,13.333333,1.55,-0.502707,23.1,Industrials,2020-04-30,{"period":"0m","strongBuy":2,"buy":2,"hold":13,"sell":1,"strongSell":0}
KIM,704,132,61,242,0.241,0.7917628,11.584416,2.6,-0.47775173,8.48,Real Estate,2020-05-08,{"period":"0m","strongBuy":3,"buy":5,"hold":13,"sell":0,"strongSell":0}
XRX,706,17,49,415,4.971,0.6894715,5.267442,1.99,-0.46406388,16.91,Technology,2020-04-22,{"period":"0m","strongBuy":2,"buy":4,"hold":3,"sell":0,"strongSell":0}
PBCT,722,209,45,304,0.033,0.6523839,9.896552,0.75,-0.31009614,10.56,Financial Services,2019-07-17,{"period":"0m","strongBuy":0,"buy":0,"hold":9,"sell":2,"strongSell":0}
HBAN,726,239,59,188,-0.051,0.7761942,7.6037745,1.93,-0.40909088,7.175,Financial Services,2019-10-21,{"period":"0m","strongBuy":7,"buy":8,"hold":11,"sell":0,"strongSell":0}
EMN,727,306,116,121,-0.235,1.2572159,7.631579,1.23,-0.33821768,52.23,Basic Materials,2020-04-30,{"period":"0m","strongBuy":2,"buy":9,"hold":7,"sell":0,"strongSell":0}
PXD,730,188,92,331,0.065,1.0467721,20.380318,1.33,-0.56433,71.11,Energy,2020-05-04,{"period":"0m","strongBuy":11,"buy":24,"hold":5,"sell":0,"strongSell":0}
CMCSA,743,128,184,80,0.259,2.0958776,11.753087,1.46,-0.093333304,37.83,Communication Services,2020-04-30,{"period":"0m","strongBuy":12,"buy":18,"hold":1,"sell":0,"strongSell":0}
RL,746,31,159,308,1.784,1.7187722,11.837133,2.12,-0.44413,68.52,Consumer Cyclical,2020-05-12,{"period":"0m","strongBuy":0,"buy":2,"hold":17,"sell":2,"strongSell":0}
FRT,757,32,214,153,1.703,2.3965654,22.562876,3.58,-0.4184736,72.84,Real Estate,2020-05-06,{"period":"0m","strongBuy":3,"buy":6,"hold":7,"sell":1,"strongSell":0}
CB,758,29,82,74,2.304,0.9703401,10.540372,6.25,-0.13945228,111.95,Financial Services,2020-04-21,{"period":"0m","strongBuy":5,"buy":11,"hold":1,"sell":1,"strongSell":1}
HAS,775,7,273,207,29.498,3.4358294,15.732216,1.24,-0.14652145,73.01,Consumer Cyclical,2020-04-29,{"period":"0m","strongBuy":4,"buy":3,"hold":7,"sell":0,"strongSell":0}
UTX,786,72,163,428,0.666,1.7634034,10.001163,1.37,-0.578117,91.37,Industrial Goods,2020-05-07,{"period":"0m","strongBuy":3,"buy":3,"hold":13,"sell":0,"strongSell":0}
SYF,789,244,46,351,-0.066,0.6702424,4.662687,1.52,-0.5344262,14.17,Financial Services,2020-04-21,{"period":"0m","strongBuy":5,"buy":10,"hold":6,"sell":0,"strongSell":0}
PWR,800,53,112,357,1.079,1.2270219,8.619753,0.85,-0.123304844,32.65,Industrials,2020-04-30,{"period":"0m","strongBuy":6,"buy":8,"hold":2,"sell":0,"strongSell":0}
ALGN,801,131,400,49,0.245,11.24512,26.045885,1.52,-0.3359254,180.34,Healthcare,2020-04-29,{"period":"0m","strongBuy":7,"buy":4,"hold":0,"sell":0,"strongSell":0}
PHM,809,102,117,295,0.413,1.2634915,5.9626164,1.29,-0.1555261,24.27,Consumer Cyclical,2020-04-23,{"period":"0m","strongBuy":1,"buy":6,"hold":14,"sell":0,"strongSell":1}
AXP,812,284,254,17,-0.158,3.068146,10.465868,1.31,-0.22202438,81.35,Financial Services,2020-04-24,{"period":"0m","strongBuy":6,"buy":4,"hold":16,"sell":2,"strongSell":0}
GLW,816,383,135,127,-0.89,1.4885057,10.962963,1.32,-0.39679766,19.84,Technology,2020-04-28,{"period":"0m","strongBuy":3,"buy":3,"hold":8,"sell":2,"strongSell":0}
BKNG,821,64,393,88,0.813,10.267925,14.200328,1.36,-0.20242172,1407.4,Consumer Cyclical,2020-05-07,{"period":"0m","strongBuy":0,"buy":0,"hold":0,"sell":0,"strongSell":0}
MYL,821,360,51,291,-0.6,0.6997047,3.4570818,0.72,-0.39708078,15.5,Healthcare,2020-05-05,{"period":"0m","strongBuy":4,"buy":9,"hold":7,"sell":0,"strongSell":0}
MET,842,372,19,229,-0.713,0.4575019,5.315113,1.24,-0.26874578,30.95,Financial Services,2020-05-06,{"period":"0m","strongBuy":3,"buy":6,"hold":6,"sell":0,"strongSell":1}
DTE,843,104,161,140,0.398,1.7430754,14.971711,2.56,-0.13746744,101.57,Utilities,2019-10-22,{"period":"0m","strongBuy":2,"buy":2,"hold":6,"sell":1,"strongSell":0}
KMX,847,160,243,84,0.116,2.822155,13.175758,1.75,-0.13844115,59.07,Consumer Cyclical,2020-06-19,{"period":"0m","strongBuy":3,"buy":4,"hold":8,"sell":1,"strongSell":1}
BAC,857,338,67,73,-0.452,0.8363271,10.255507,2.54,-0.22529113,21.42,Financial Services,2020-07-16,{"period":"0m","strongBuy":6,"buy":16,"hold":7,"sell":0,"strongSell":1}
OKE,865,173,173,300,0.093,1.9500862,8.183844,2.25,-0.5798656,26.57,Energy,2020-04-28,{"period":"0m","strongBuy":2,"buy":2,"hold":12,"sell":0,"strongSell":0}
HIG,868,30,73,187,1.796,0.9027527,7.170251,722,-0.21379447,37.42,Financial Services,2020-04-29,{"period":"0m","strongBuy":1,"buy":6,"hold":11,"sell":0,"strongSell":0}
APTV,892,246,302,24,-0.069,4.272727,13.372384,2.2,-0.28772008,59.36,Consumer Cyclical,2020-04-30,{"period":"0m","strongBuy":0,"buy":0,"hold":0,"sell":0,"strongSell":0}
AVY,902,71,373,28,0.674,7.572358,15.735252,1.88,-0.039775193,104.68,Industrials,2020-04-29,{"period":"0m","strongBuy":3,"buy":2,"hold":4,"sell":0,"strongSell":0}
TRV,903,103,90,359,0.406,1.034785,9.604205,2.19,-0.2308762,99.81,Financial Services,2020-04-21,{"period":"0m","strongBuy":4,"buy":2,"hold":13,"sell":2,"strongSell":1}
RF,905,359,32,353,-0.589,0.5686298,6.898551,1.08,-0.37532806,8.85,Financial Services,2020-07-17,{"period":"0m","strongBuy":1,"buy":4,"hold":19,"sell":2,"strongSell":1}
XOM,910,241,78,154,-0.052,0.95482165,22.74737,17.32,-0.47864896,39.15,Energy,2020-05-01,{"period":"0m","strongBuy":2,"buy":5,"hold":11,"sell":5,"strongSell":2}
KEY,911,366,48,233,-0.641,0.67970324,7.4551725,1.92,-0.36374336,9.74,Financial Services,2020-04-16,{"period":"0m","strongBuy":6,"buy":12,"hold":9,"sell":1,"strongSell":0}
GPN,913,110,154,219,0.366,1.6692715,19.003683,1.23,0.101721406,141,Industrials,2020-04-30,{"period":"0m","strongBuy":11,"buy":15,"hold":7,"sell":1,"strongSell":0}
HSIC,917,35,224,204,1.481,2.564789,14.497297,2.69,-0.12638438,52.58,Healthcare,2020-05-05,{"period":"0m","strongBuy":5,"buy":4,"hold":7,"sell":0,"strongSell":0}
T,925,349,113,11,-0.507,1.2298181,8.532786,2.04,-0.02649635,30.16,Communication Services,2020-04-22,{"period":"0m","strongBuy":6,"buy":3,"hold":20,"sell":0,"strongSell":1}
ADP,931,148,401,42,0.167,11.356355,21.6049,1.53,-0.12865174,136.92,Industrials,2020-04-29,{"period":"0m","strongBuy":2,"buy":0,"hold":16,"sell":0,"strongSell":0}
